message_id,action,message_type,reason,confidence,evidence_message_ids
msg_078,mute,spam,Low-value repeated or forwarded content; marketplace group; low sender trust; should stay muted,0.98,message_0211;message_0089;message_0181
msg_013,mute,scam,Suspicious verification or account-pressure language; college_faculty group; low sender trust; should stay muted,0.98,message_0081;message_0116;message_0050
msg_018,mute,spam,Low-value repeated or forwarded content; marketplace group; low sender trust; should stay muted,0.98,message_0026;message_0298;message_0052
msg_044,mute,scam,Suspicious verification or account-pressure language; marketplace group; low sender trust; should stay muted,0.98,message_0143;message_0211;message_0089
msg_032,digest,event,Time-sensitive group or scheduling update; college_students group; can wait for digest,0.93,message_0119;message_0285;message_0316
msg_106,notify,urgent,Direct time-sensitive request; should interrupt now,0.98,message_0325;message_0285;message_0006
msg_006,digest,personal,Personal message; society group; can wait for digest,0.86,message_0097;message_0067;message_0029
msg_109,notify,event,Time-sensitive group or scheduling update; society group; should interrupt now,0.91,message_0150;message_0140;message_0151
msg_108,notify,event,Time-sensitive group or scheduling update; category bank; should interrupt now,0.94,message_0094;message_0093;message_0236
msg_019,digest,event,Time-sensitive group or scheduling update; category bank; useful but not immediate; can wait for digest,0.94,message_0094;message_0093;message_0236
msg_088,digest,personal,Personal message; marketplace group; can wait for digest,0.83,message_0049;message_0390;message_0401
msg_056,digest,event,Time-sensitive group or scheduling update; family group; can wait for digest,0.98,message_0259;message_0046;message_0167
msg_027,digest,promotion,Marketing or sale content; from a verified business; category travel; useful but not immediate; can wait for digest,0.98,message_0272;message_0033;message_0007
msg_050,digest,event,Time-sensitive group or scheduling update; category healthcare; can wait for digest,0.98,message_0279;message_0246;message_0155
msg_083,digest,personal,Personal message; coworker group; can wait for digest,0.85,message_0219;message_0218;message_0003
msg_063,notify,urgent,Direct time-sensitive request; local_food group; should interrupt now,0.96,message_0399;message_0199;message_0085
msg_033,digest,greeting,Harmless greeting or low-urgency chat; family group; can wait for digest,0.95,message_0197;message_0165;message_0167
msg_061,mute,spam,Low-value repeated or forwarded content; family group; low sender trust; should stay muted,0.98,message_0080;message_0132;message_0265
msg_020,mute,personal,Personal message; marketplace group; should stay muted,0.94,message_0211;message_0089;message_0181
msg_017,digest,payment,Payment-related message; marketplace group; can wait for digest,0.92,message_0199;message_0085;message_0213
msg_058,mute,spam,Low-value repeated or forwarded content; family group; low sender trust; should stay muted,0.98,message_0016;message_0079;message_0131
msg_026,mute,scam,Suspicious verification or account-pressure language; category ecommerce_delivery; low sender trust; should stay muted,0.98,message_0032;message_0028;message_0107
msg_047,digest,unknown,No strong urgency or safety signal; society group; can wait for digest,0.87,message_0328;message_0129;message_0215
msg_046,mute,personal,Personal message; extended_family group; low sender trust; should stay muted,0.94,message_0148;message_0016;message_0147
msg_042,digest,personal,Personal message; society group; can wait for digest,0.86,message_0058;message_0140;message_0216
msg_079,mute,scam,Suspicious verification or account-pressure language; marketplace group; should stay muted,0.98,message_0024;message_0201;message_0087
msg_098,digest,event,Time-sensitive group or scheduling update; can wait for digest,0.98,message_0046;message_0167;message_0197
msg_037,digest,greeting,Harmless greeting or low-urgency chat; society group; can wait for digest,0.98,message_0001;message_0029;message_0129
msg_007,digest,personal,Personal message; society group; can wait for digest,0.97,message_0008;message_0070;message_0216
msg_085,digest,business_update,Legitimate business update; category bank; inside quiet hours; useful but not immediate; can wait for digest,0.67,message_0221
msg_001,notify,event,Time-sensitive group or scheduling update; society group; should interrupt now,0.90,message_0058;message_0140;message_0216
msg_021,digest,personal,Personal message; society group; can wait for digest,0.98,message_0098;message_0068;message_0029
msg_028,mute,promotion,Marketing or sale content; from a verified business; category travel; low sender trust; should stay muted,0.98,message_0034;message_0314;message_0112
msg_012,mute,spam,Low-value repeated or forwarded content; dance_class group; low sender trust; should stay muted,0.98,message_0040;message_0016;message_0194
msg_064,mute,scam,Suspicious verification or account-pressure language; marketplace group; low sender trust; should stay muted,0.97,message_0201;message_0087;message_0183
msg_103,digest,personal,Personal message; can wait for digest,0.94,message_0065;message_0049;message_0066
msg_031,digest,personal,Personal message; coworker group; can wait for digest,0.86,message_0397;message_0304;message_0218
msg_057,digest,personal,Personal message; coworker group; can wait for digest,0.92,message_0059;message_0169;message_0117
msg_087,digest,personal,Personal message; real_estate group; can wait for digest,0.82,message_0392;message_0223;message_0164
msg_067,digest,payment,Payment-related message; society group; can wait for digest,0.98,message_0098;message_0068;message_0097
msg_039,digest,payment,Payment-related message; school_group group; can wait for digest,0.96,message_0051;message_0217;message_0403
msg_082,digest,personal,Personal message; coworker group; can wait for digest,0.85,message_0218;message_0397;message_0003
msg_066,mute,spam,Low-value repeated or forwarded content; from a verified business; category retail; low sender trust; should stay muted,0.98,message_0336;message_0188;message_0187
msg_049,notify,business_update,Legitimate business update; from a verified business; category ecommerce; should interrupt now,0.98,message_0154;message_0291;message_0153
msg_015,mute,scam,Suspicious verification or account-pressure language; marketplace group; should stay muted,0.98,message_0024;message_0211;message_0089
msg_051,mute,spam,Low-value repeated or forwarded content; from a verified business; category ecommerce; low sender trust; should stay muted,0.98,message_0257;message_0337;message_0356
msg_097,notify,urgent,Direct time-sensitive request; should interrupt now,0.98,message_0046;message_0167;message_0197
msg_089,digest,greeting,Harmless greeting or low-urgency chat; can wait for digest,0.97,message_0036;message_0200;message_0086
msg_053,mute,forward,Forwarded content; investment_tips group; should stay muted,0.98,message_0391;message_0161;message_0411
msg_059,digest,event,Time-sensitive group or scheduling update; marketplace group; can wait for digest,0.98,message_0065;message_0049;message_0114
msg_024,mute,spam,Low-value repeated or forwarded content; from a verified business; category ecommerce; low sender trust; should stay muted,0.98,message_0257;message_0337;message_0356
msg_072,mute,scam,Suspicious verification or account-pressure language; marketplace group; should stay muted,0.98,message_0024;message_0211;message_0089
msg_036,mute,scam,Suspicious verification or account-pressure language; category payments; low sender trust; should stay muted,0.98,message_0283;message_0127;message_0128
msg_076,mute,scam,Suspicious verification or account-pressure language; category food_delivery; low sender trust; should stay muted,0.98,message_0208;message_0160;message_0207
msg_055,digest,personal,Personal message; extended_family group; can wait for digest,0.87,message_0166;message_0168;message_0046
msg_102,digest,personal,Personal message; can wait for digest,0.86,message_0059;message_0169;message_0117
msg_080,digest,unknown,No strong urgency or safety signal; society group; can wait for digest,0.85,message_0216;message_0130;message_0150
msg_093,mute,scam,Suspicious verification or account-pressure language; from a verified business; category logistics; inside quiet hours; low sender trust; should stay muted,0.71,none
msg_034,mute,greeting,Harmless greeting or low-urgency chat; family group; low sender trust; should stay muted,0.97,message_0013;message_0042;message_0123
msg_035,digest,business_update,Legitimate business update; from a verified business; category payments; useful but not immediate; can wait for digest,0.95,message_0281;message_0273;message_0302
msg_101,digest,personal,Personal message; inside quiet hours; can wait for digest,0.86,message_0325;message_0316;message_0405
msg_041,digest,greeting,Harmless greeting or low-urgency chat; from a verified business; category education; useful but not immediate; can wait for digest,0.98,message_0329;message_0287;message_0308
msg_011,mute,spam,Low-value repeated or forwarded content; family group; low sender trust; should stay muted,0.98,message_0080;message_0132;message_0123
msg_110,mute,scam,Suspicious verification or account-pressure language; should stay muted,0.98,message_0211;message_0089;message_0181
msg_095,mute,personal,Personal message; low sender trust; should stay muted,0.92,message_0201;message_0087;message_0183
msg_074,mute,spam,Low-value repeated or forwarded content; real_estate group; low sender trust; should stay muted,0.98,message_0301;message_0204;message_0358
msg_073,mute,forward,Forwarded content; marketplace group; should stay muted,0.98,message_0025;message_0201;message_0087
msg_054,digest,payment,Payment-related message; local_food group; can wait for digest,0.89,message_0392;message_0399;message_0012
msg_068,digest,unknown,No strong urgency or safety signal; book_club group; can wait for digest,0.84,message_0191;message_0073;message_0010
msg_100,notify,payment,Payment-related message; should interrupt now,0.95,message_0117;message_0059;message_0169
msg_062,mute,forward,Forwarded content; society group; inside quiet hours; should stay muted,0.98,message_0271;message_0030;message_0015
msg_096,digest,unknown,No strong urgency or safety signal; can wait for digest,0.82,message_0199;message_0200;message_0036
msg_043,mute,forward,Forwarded content; society group; should stay muted,0.98,message_0030;message_0271;message_0015
msg_077,notify,event,Time-sensitive group or scheduling update; school_group group; inside quiet hours; should interrupt now,0.98,message_0051;message_0037;message_0255
msg_081,digest,personal,Personal message; school_group group; can wait for digest,0.85,message_0217;message_0175;message_0404
msg_025,notify,business_update,Legitimate business update; from a verified business; category ecommerce_delivery; should interrupt now,0.98,message_0239;message_0004;message_0400
msg_084,digest,business_update,Legitimate business update; from a verified business; category bank; can wait for digest,0.91,message_0407;message_0102;message_0263
msg_022,digest,payment,Payment-related message; society group; can wait for digest,0.97,message_0150;message_0140;message_0149
